Amazon Category,Quicken Category
,Uncategorized
ABIS_BOOK,Shopping:Books
ACCESSORY,Shopping:Clothing
AIR_PUMP,Health & Fitness:Sports
ANTENNA,Bills & Utilities:Television
APPAREL_BELT,Shopping:Clothing
ARM_SLEEVE,Shopping:Clothing
ART_AND_CRAFT_SUPPLY,Kids:Kids Activities
BAKING_PAN,Home:Home Supplies
BALLOON,Kids:Toys
BANNER,Kids:Birthday Parties
BATHWATER_ADDITIVE,Shopping:Personal Care
BATTERY,Home:Home Supplies
BEAUTY,Shopping:Personal Care
BLANKET,Home:Furnishings
BOARD_GAME,Entertainment:Amusement
BOOKS_1973_AND_LATER,Shopping:Books
BOOT,Shopping:Clothing
BOTTLE,Education:Books & Supplies
BRACELET,Shopping:Clothing
BREAD,Food & Dining:Groceries
CADDY,Education:Books & Supplies
CAKE,Food & Dining:Groceries
CAKE_TOPPER,Kids:Birthday Parties
CANDLE,Kids:Birthday Parties
CARGO_STRAP,Kids:Toys
CELLULAR_PHONE,Bills & Utilities:Mobile Phone
CELLULAR_PHONE_CASE,Bills & Utilities:Mobile Phone
CLEANING_AGENT,Home:Home Supplies
COFFEE,Food & Dining:Groceries
COLLECTIBLE_CARD,Kids:Toys
CONDIMENT,Food & Dining:Groceries
CONDITIONER,Shopping:Personal Care
CONSOLE_VIDEO_GAMES,Kids:Toys
CONSUMER_ELECTRONICS,Uncategorized
COOKIE,Food & Dining:Groceries
COOKIE_CUTTER,Home:Home Supplies
COSTUME_OUTFIT,Kids:Toys
CRACKER,Food & Dining:Groceries
DAIRY_BASED_BUTTER,Food & Dining:Groceries
DAIRY_BASED_CHEESE,Food & Dining:Groceries
DAIRY_BASED_CREAM,Food & Dining:Groceries
DAIRY_BASED_DRINK,Food & Dining:Groceries
DAIRY_BASED_ICE_CREAM,Food & Dining:Groceries
DECORATIVE_MAGNET,Home:Furnishings
DECORATIVE_RIBBON_TRIM,Kids:Birthday Parties
DIGITAL_DEVICE_4,Bills & Utilities:Television
DISHWARE_PLATE,Home:Furnishings
DOOR,Home:Furnishings
DOWNLOADABLE_VIDEO_GAME,Kids:Toys
DRESS,Shopping:Clothing
EDIBLE_OIL_VEGETABLE,Food & Dining:Groceries
ELECTRIC_SHAVER,Personal Care
ELECTRONIC_ADAPTER,Uncategorized
ELECTRONIC_CABLE,Shopping:Electronics & Software
ELECTRONIC_GIFT_CARD,Gifts & Donations:Gift
ELECTRONIC_SWITCH,Home:Supplies
EXERCISE_MAT,Health & Fitness:Sports
FISH,Food & Dining:Groceries
FLASH_MEMORY,Shopping:Electronics & Software
FOOD_PREPARATION_MOLD,Food & Dining:Groceries
FOOD_STORAGE_BAG,Food & Dining:Groceries
FRUIT,Food & Dining:Groceries
FRUIT_SNACK,Food & Dining:Groceries
GIFT_WRAP,Kids:Birthday Parties
GREETING_CARD,Kids:Birthday Parties
GROCERY,Food & Dining:Groceries
HAIR_BRUSH,Shopping:Personal Care
HAIR_COLORING_AGENT,Shopping:Personal Care
HAIR_STYLING_AGENT,Shopping:Personal Care
HEADPHONES,Shopping:Electronics & Software
HEALTH_PERSONAL_CARE,Shopping:Personal Care
HERB,Food & Dining:Groceries
HERBAL_SUPPLEMENT,Shopping:Personal Care
HOME,Home:Supplies
HVAC_AIR_FILTER,Home:Supplies
INCONTINENCE_PROTECTOR,Shopping:Personal Care
INKJET_PRINTER_INK,Home:Supplies
INSECT_REPELLENT,Shopping:Personal Care
JUICE_AND_JUICE_DRINK,Food & Dining:Groceries
KEYBOARDS,Shopping:Electronics & Software
KICK_SCOOTER,Health & Fitness:Sports
KITCHEN,Food & Dining:Groceries
LAMP,Home:Furnishings
LEAVENING_AGENT,Food & Dining:Groceries
LEGUME,Food & Dining:Groceries
LEOTARD,Shopping:Clothing
LIGHT_BULB,Home:Supplies
LOCK,Health & Fitness:Sports
MARKING_PEN,Education:Books & Supplies
MEAT,Food & Dining:Groceries
NON_RIDING_TOY_VEHICLE,Kids:Toys
NOODLE,Food & Dining:Groceries
OFFICE_PRODUCTS,Education:Books & Supplies
ORTHOPEDIC_BRACE,Shopping:Personal Care
OTC_MEDICATION,Shopping:Personal Care
OUTDOOR_LIVING,Home:Supplies
OUTDOOR_RECREATION_PRODUCT,Health & Fitness:Sports
PACIFIER,Kids:Baby Supplies
PACKAGED_SOUP_AND_STEW,Food & Dining:Groceries
PAINT,Shopping:Personal Care
PAJAMAS,Shopping:Clothing
PANTS,Shopping:Clothing
PAPER_TOWEL,Home:Supplies
PARTY_SUPPLIES,Kids:Birthday Parties
PERSONAL_CARE_APPLIANCE,Shopping:Personal Care
PERSONAL_FRAGRANCE,Shopping:Personal Care
PERSONAL_PILL_DISPENSER,Shopping:Personal Care
PORTABLE_ELECTRONIC_DEVICE_COVER,Home:Supplies
POTABLE_WATER_FILTER,Home:Supplies
POT_HOLDER,Home:Supplies
POULTRY,Food & Dining:Groceries
